Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
soleil-solitaire,Soleil Solitaire Ring,"<p>A round brilliant diamond of exceptional cut, set high in a classic prong crown that lets maximum light flood the stone. The band tapers slightly toward the gallery for a graceful silhouette from every angle.</p>",Pavé,Ring,"engagement,solitaire,diamond,ring,new-arrival",TRUE,Ring Size,5,Metal,18k White Gold,SOL-001,3,shopify,10,deny,manual,4800.00,5400.00,TRUE,TRUE,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800&h=800&fit=crop&auto=format,1,Soleil Solitaire Ring — 1.2ct round brilliant in 18k white gold,Soleil Solitaire Ring — 1.2ct Round Brilliant Diamond | Pavé,A 1.2ct round brilliant diamond in VS1/D set in 18k white gold. Certified by GIA.,active
lumiere-halo,Lumière Halo Ring,<p>A cushion-cut sapphire encircled by a double halo of round brilliant diamonds. The hidden gallery is set with tiny pavé stones — a detail only you will know is there.</p>,Pavé,Ring,"engagement,halo,sapphire,ring,bestseller",TRUE,Ring Size,5,Metal,18k Yellow Gold,LUM-001,3,shopify,8,deny,manual,6200.00,7000.00,TRUE,TRUE,https://images.unsplash.com/photo-1573408301408-52188e8f4c8a?w=800&h=800&fit=crop&auto=format,1,Lumière Halo Ring — cushion sapphire with diamond double halo,Lumière Halo Ring — Sapphire & Diamond Double Halo | Pavé,2.1ct Ceylon sapphire with double diamond halo in 18k yellow gold. GIA certified.,active
eternel-band,Éternel Eternity Band,<p>Seventy-two round brilliant diamonds set flush in a continuous pavé channel that encircles the entire band. No beginning. No end. No gaps.</p>,Pavé,Ring,"wedding,eternity,band,diamond,signature",TRUE,Ring Size,5,Metal,18k White Gold,ETB-001,2,shopify,15,deny,manual,3200.00,,TRUE,TRUE,https://images.unsplash.com/photo-1589128777073-263566ae5e4d?w=800&h=800&fit=crop&auto=format,1,Éternel Eternity Band — full pavé diamond eternity ring,Éternel Eternity Band — Full Pavé Diamond Eternity Ring | Pavé,72 round brilliant diamonds totalling 2.88ct in 18k white gold. IGI certified.,active
arc-drop-earrings,Arc Drop Earrings,"<p>A graceful arc of graduated pavé diamonds suspended from a simple post. Long enough to move, light enough to wear every day.</p>",Pavé,Earrings,"earrings,drop,diamond,everyday,new-arrival",TRUE,Metal,18k Yellow Gold,,,ARC-001,2,shopify,12,deny,manual,1800.00,,TRUE,TRUE,https://images.unsplash.com/photo-1535632066927-3f04f35e4c0c?w=800&h=800&fit=crop&auto=format,1,Arc Drop Earrings — pavé diamond drops in 18k yellow gold,Arc Drop Earrings — Pavé Diamond Drops in 18k Gold | Pavé,0.6ct total pavé diamond drop earrings with French wire closure in 18k yellow gold.,active
constellation-studs,Constellation Studs,<p>Four-prong set round brilliants in a classic martini setting. The kind of earrings you put on Monday and forget to take off until Friday.</p>,Pavé,Earrings,"earrings,studs,diamond,everyday",TRUE,Metal,18k White Gold,,,CON-001,1,shopify,20,deny,manual,2400.00,,TRUE,TRUE,https://images.unsplash.com/photo-1588444837495-c6cfeb53f32d?w=800&h=800&fit=crop&auto=format,1,Constellation Studs — round brilliant diamond studs in 18k white gold,Constellation Studs — Round Brilliant Diamond Studs | Pavé,"1.0ct total (0.5ct each) round brilliant diamond studs. GIA certified, four-prong martini setting.",active
seve-pendant,Sève Pendant,"<p>A pear-shaped green tourmaline suspended from a fine 18k chain. The colour of new leaves in morning light, set with a slim diamond bail that disappears against the stone.</p>",Pavé,Necklaces,"necklace,pendant,tourmaline,coloured-stone",TRUE,Length,16 inches,,,SV-001,2,shopify,10,deny,manual,1400.00,,TRUE,TRUE,https://images.unsplash.com/photo-1515562141027-7062a566a479?w=800&h=800&fit=crop&auto=format,1,Sève Pendant — pear tourmaline on 18k gold chain,Sève Pendant — Pear Tourmaline on 18k Gold Chain | Pavé,2.8ct pear-cut green tourmaline with diamond bail on adjustable 16-18 inch 18k gold chain.,active
tennis-classique,Tennis Classique Bracelet,"<p>The archetype. Forty-two round brilliant diamonds set in individual four-prong stations, flexible enough to drape naturally on the wrist. Box clasp with hidden safety.</p>",Pavé,Bracelets,"bracelet,tennis,diamond,statement,signature",TRUE,Metal,18k White Gold,,,TEN-001,8,shopify,6,deny,manual,9800.00,11000.00,TRUE,TRUE,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800&h=800&fit=crop&auto=format,1,Tennis Classique Bracelet — 42-stone diamond tennis bracelet,Tennis Classique Bracelet — 5.04ct Diamond Tennis Bracelet | Pavé,"42 round brilliant diamonds, 5.04ct total weight. GIA batch certified, 18k white gold.",active
riviere-necklace,Rivière Necklace,<p>Twenty-one graduated round brilliants set in a delicate open-claw setting that lets each stone float independently. The diamonds increase in size toward the center for perfect visual balance.</p>,Pavé,Necklaces,"necklace,diamond,statement,graduated,rare-find",TRUE,Length,16 inches,,,RIV-001,5,shopify,4,deny,manual,12500.00,14000.00,TRUE,TRUE,https://images.unsplash.com/photo-1617038260897-41a1f14a8ca0?w=800&h=800&fit=crop&auto=format,1,Rivière Necklace — graduated diamond rivière necklace,Rivière Necklace — Graduated Diamond Rivière | Pavé,"21 graduated round brilliants, 7.2ct total. Open-claw setting in 18k white gold. GIA certified.",active
empire-signet,Empire Signet Ring,"<p>A weighty oval signet with a hand-engraved star motif on the table. Substantial enough to make a statement, refined enough to stack. Offered in yellow or white gold.</p>",Pavé,Rings,"ring,signet,everyday,unisex",TRUE,Ring Size,7,Metal,18k Yellow Gold,EMP-001,6,shopify,12,deny,manual,2200.00,,TRUE,TRUE,https://images.unsplash.com/photo-1601121141418-b68e881b8f88?w=800&h=800&fit=crop&auto=format,1,Empire Signet Ring — hand-engraved oval signet in 18k yellow gold,Empire Signet Ring — Hand-Engraved Oval Signet in 18k Gold | Pavé,Solid 18k gold oval signet ring with hand-engraved star motif. Comfort-fit interior.,active
bague-trois,Bague Trois Ring,<p>Three round brilliants of equal size set in a shared-prong crown — a modern interpretation of the trilogy ring that wears lighter than it looks.</p>,Pavé,Rings,"ring,three-stone,diamond,engagement,new-arrival",TRUE,Ring Size,5,Metal,18k White Gold,BAG-001,3,shopify,8,deny,manual,5600.00,,TRUE,TRUE,https://images.unsplash.com/photo-1602752250015-52934bc45613?w=800&h=800&fit=crop&auto=format,1,Bague Trois Ring — three-stone diamond ring in 18k white gold,Bague Trois Ring — Three-Stone Diamond Ring | Pavé,1.5ct total (0.5ct each) three-stone diamond ring in 18k white gold. GIA certified.,active
