"Handle","Title","Body HTML","Author","Published","Template Suffix"
"our-story","Our Story","<p>The brief was simple: twelve pieces, made in Europe, priced honestly. We did not have a studio, a stockist, or a manufacturer. We had a list and a small amount of conviction that the list was right.</p><p>We spent the first year failing to find manufacturers who would work with us. The quantities were too small. The standards were too specific. The timeline was too slow. We eventually found the Bento atelier in Porto through a friend of a friend who knew a pattern cutter who had worked there for twenty years. We visited on a Tuesday in February. We have been working with them ever since.</p><blockquote><p>We don't want to be a label people wear because it is fashionable. We want to be the clothes they reach for because they are right.</p></blockquote><p>Seven years later the brief has not changed. Twelve pieces. Made in Portugal and Italy. Priced to last. The only thing that has changed is that we now know, with some certainty, that the list was right.</p>","VELA Studio","TRUE","about"
"sustainability","Sustainability","<h2>Considered, not performed.</h2><p>We do not use the word sustainable lightly. It is a word that has been stretched past usefulness by brands that want the association without the discipline. We prefer to describe what we actually do and let you decide what to call it.</p><h2>What We Actually Do</h2><ul><li>Small batch production: 40–60 pieces per style. We do not overproduce.</li><li>Zero fabric surplus: every length we commission is cut to completion.</li><li>European manufacture: Portugal and Italy, within visiting distance of our studio.</li><li>Long-supply relationships: we have worked with the same mills and ateliers since our first season.</li><li>No seasonal urgency: we do not hold sales. Prices are set to be final prices.</li><li>Repair programme: we will repair any VELA garment, at cost, for as long as we exist.</li></ul><h2>What We Are Working On</h2><p>Packaging: currently recycled tissue and a kraft box. We are moving to fully home-compostable packaging in 2026.<br>Deadstock: we are increasing our use of archive and deadstock fabrics each season.<br>Carbon: we are mapping our supply chain emissions. We will publish the results when they are complete, not before.</p><p>We believe that the most sustainable garment is the one you wear for ten years. Everything else follows from that.</p>","VELA Studio","TRUE",""
"the-atelier","The Atelier","<h2>Porto, Portugal</h2><p>Our primary atelier is on the second floor of a building near the Douro river. Paulo has been cutting patterns here for twenty-three years. The light comes in from the north. The fabric is laid by hand.</p><p>Fifty-two days, on average, from first cut to finished garment. Eleven pairs of hands on each piece. Every seam is pressed open. Every button is attached by hand. The quality inspector checks every inside seam by feel before the garment is passed.</p><h2>Como, Italy</h2><p>Our knitwear is produced in a small workshop outside Como, working on machines that have not been replaced because there is no reason to replace them. The yarn comes from Biella. The finishing is done by hand. A single knit takes three days.</p><p>We visit both ateliers before each season begins and once during production. We are not a brand that sends specifications and waits for boxes to arrive.</p>","VELA Studio","TRUE",""
"contact","Contact","<h2>Get in Touch</h2><p>We read every message and respond within two working days.</p><p><strong>General enquiries:</strong> studio@vela.com<br><strong>Press &amp; wholesale:</strong> press@vela.com<br><strong>Telephone:</strong> +44 207 945 0001 (Mon–Fri, 9–5 GMT)</p><h2>Studio Address</h2><p>VELA Studio<br>14 Vesterbrogade<br>1620 Copenhagen V<br>Denmark</p><p>The studio is not open to the public, but we do host occasional open days. Follow us to hear about them first.</p>","VELA Studio","TRUE",""
"shipping","Shipping &amp; Delivery","<h2>Delivery</h2><table><thead><tr><th>Region</th><th>Service</th><th>Time</th><th>Cost</th></tr></thead><tbody><tr><td>UK</td><td>Standard</td><td>3–5 working days</td><td>Free over £100, otherwise £6</td></tr><tr><td>UK</td><td>Express</td><td>Next working day</td><td>£12</td></tr><tr><td>Europe</td><td>Standard</td><td>5–8 working days</td><td>Free over €150, otherwise €10</td></tr><tr><td>USA &amp; Canada</td><td>Standard</td><td>7–12 working days</td><td>Free over $150, otherwise $15</td></tr><tr><td>Rest of World</td><td>Standard</td><td>10–15 working days</td><td>Free over $200, otherwise $20</td></tr></tbody></table><p>All orders are dispatched from Copenhagen within 2 working days. You will receive a tracking link by email when your order is collected.</p><p>Orders are wrapped in recycled tissue, sealed with a VELA sticker, and packed in a kraft box. No plastic.</p><h2>Customs &amp; Duties</h2><p>International orders may be subject to import duties and taxes on arrival. These are the responsibility of the recipient and are not included in our prices or shipping fees.</p>","VELA Studio","TRUE",""
"returns","Returns &amp; Exchanges","<h2>Returns</h2><p>We accept returns within 30 days of delivery. Items must be unworn, unwashed, and in their original packaging with tags attached.</p><p>To start a return, email studio@vela.com with your order number and reason for return. We will send you a prepaid returns label within one working day.</p><p>Refunds are processed within 5 working days of receiving the item and will be returned to your original payment method.</p><h2>Exchanges</h2><p>We are happy to exchange for a different size or colour where stock allows. Email us before returning and we will reserve the alternative for you.</p><h2>Final Sale</h2><p>Items marked as Final Sale cannot be returned or exchanged. This will be clearly indicated at the time of purchase.</p><h2>Faulty Items</h2><p>If you receive a faulty item, please email us within 7 days of delivery with photos. We will arrange a replacement or full refund, including return shipping, as quickly as possible.</p>","VELA Studio","TRUE",""
"size-guide","Size Guide","<p>VELA garments are cut with a relaxed, considered fit. We recommend sizing as you would normally unless otherwise noted in the product description. If you are between sizes, our team is happy to advise — email studio@vela.com with your measurements.</p>","VELA Studio","TRUE","size-guide"
"garment-care","Garment Care","<h2>General Principles</h2><p>The clothes we make are designed to last for years. Care is part of that. Each garment has full care instructions on its label — these should always be your first reference.</p><h2>By Fabric</h2><h3>Wool &amp; Wool Crepe</h3><p>Dry clean or hand wash cold. Do not tumble dry. Press on reverse with a damp cloth. Store folded, not hung — hanging distorts the shoulder.</p><h3>Linen</h3><p>Machine wash cold on a delicate cycle, or hand wash. Line dry. Press while slightly damp for a cleaner finish, or leave the creases — both are correct. Linen softens with washing. This is intended.</p><h3>Silk &amp; Silk Blends</h3><p>Hand wash cold with a gentle detergent, or dry clean. Do not wring. Roll in a towel to remove excess water. Hang to dry away from direct light. Press on reverse on the silk setting.</p><h3>Cotton &amp; Cotton Blends</h3><p>Machine wash 30°C. Line dry where possible. Press on the cotton setting.</p><h3>Cashmere &amp; Knits</h3><p>Hand wash cold or dry clean. Dry flat — never hang. Remove pilling with a cashmere comb. Store folded in a breathable bag during warmer months.</p>","VELA Studio","TRUE",""
"faq","FAQ","<h2>Frequently Asked Questions</h2><h3>Do you restock sold-out pieces?</h3><p>Rarely. We produce in small batches of 40–60 pieces per style and do not typically reorder. If a piece sells out, it is usually gone. Sign up to our mailing list to hear about new arrivals first.</p><h3>Do you hold sales?</h3><p>No. Our prices are set to be final prices. We do not hold seasonal sales or Black Friday promotions. Occasionally we offer pieces from previous seasons at reduced prices — these are listed under Final Sale and are non-returnable.</p><h3>Can I change or cancel my order?</h3><p>Orders can be amended or cancelled within 2 hours of placing them. Email studio@vela.com immediately with your order number. After this window, the order will have been dispatched and you will need to return it.</p><h3>Do you offer gift wrapping?</h3><p>All orders are wrapped as standard in recycled tissue with a hand-written note card. If you would like to include a personal message, add it to the notes field at checkout.</p><h3>Do you ship to my country?</h3><p>We ship worldwide. See our <a href='/pages/shipping'>Shipping page</a> for rates and timings by region.</p><h3>Do you have a physical store?</h3><p>We do not have a permanent retail location. We host occasional showroom appointments in Copenhagen and London — follow us on Instagram to hear about these.</p><h3>How do I care for my VELA pieces?</h3><p>See our <a href='/pages/garment-care'>Garment Care guide</a> for full instructions by fabric type.</p>","VELA Studio","TRUE",""
"wishlist","Wishlist","<h2>Your Wishlist</h2><p>Save pieces you love and come back to them when you are ready.</p><p><em>Sign in to save your wishlist across devices.</em></p>","VELA Studio","TRUE",""
